area,year,percent
Hounslow,2018/19,92
Islington,2018/19,96
Kensington and Chelsea,2018/19,99
Kingston upon Thames,2018/19,96
Lambeth,2018/19,97
Lewisham,2018/19,95
Merton,2018/19,96
Newham,2018/19,96
Redbridge,2018/19,92
Richmond upon Thames,2018/19,95
Southwark,2018/19,97
Sutton,2018/19,94
Tower Hamlets,2018/19,96
Waltham Forest,2018/19,88
Wandsworth,2018/19,97
Westminster,2018/19,95
London,2018/19,92
